UID,Summary,Categories,Start,End
sl_26,Tamil Thai Pongal Day,"Public,Bank,Mercantile",2022-01-14,2022-01-15
sl_27,Duruthu Full Moon Poya Day,"Public,Bank",2022-01-17,2022-01-18
sl_28,Independence Day,"Public,Bank,Mercantile",2022-02-04,2022-02-05
sl_29,Nawam Full Moon Poya Day,"Public,Bank",2022-02-16,2022-02-17
sl_30,Maha sivarathri Day,"Public,Bank",2022-03-01,2022-03-02
sl_31,Madin Full Moon Poya Day,"Public,Bank",2022-03-17,2022-03-18
sl_32,Day prior to Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2022-04-13,2022-04-14
sl_33,Sinhala & Tamil New Year Day,"Public,Bank,Mercantile",2022-04-14,2022-04-15
sl_34,Good Friday,"Public,Bank",2022-04-15,2022-04-16
sl_35,Bak Full Moon Poya Day,"Public,Bank",2022-04-16,2022-04-17
sl_36,May Day,"Public,Bank,Mercantile",2022-05-01,2022-05-02
sl_37,Id-Ul-Fitr (Ramazan Festival Day),"Public,Bank",2022-05-03,2022-05-04
sl_38,Vesak Full Moon Poya Day,"Public,Bank",2022-05-15,2022-05-16
sl_39,Day following Vesak Full Moon Poya Day,"Public,Bank,Mercantile",2022-05-16,2022-05-17
sl_40,Poson Full Moon Poya Day,"Public,Bank",2022-06-14,2022-06-15
sl_41,Id-Ul-Alha (Hadji Festival Day),"Public,Bank",2022-07-10,2022-07-11
sl_42,Esala Full Moon Poya Day,"Public,Bank",2022-07-13,2022-07-14
sl_43,Nikini Full Moon Poya Day,"Public,Bank",2022-08-11,2022-08-12
sl_44,Binara Full Moon Poya Day,"Public,Bank",2022-09-10,2022-09-11
sl_45,Vap Full Moon Poya Day,"Public,Bank",2022-10-09,2022-10-10
sl_46,Milad-Un-Nabi (Holy Prophet’s Birthday),"Public,Bank,Mercantile",2022-10-09,2022-10-10
sl_47,Deepavali Festival Day,"Public,Bank",2022-10-24,2022-10-25
sl_48,Il Full Moon Poya Day,"Public,Bank",2022-11-07,2022-11-08
sl_49,Unduvap Full Moon Poya Day,"Public,Bank",2022-12-07,2022-12-08
sl_50,Christmas Day,"Public,Bank,Mercantile",2022-12-25,2022-12-26
